time_iso8601,forks_cumulative
2020-11-08 00:00:00+00:00,1
2021-04-16 00:00:00+00:00,2
2021-05-13 00:00:00+00:00,3
2021-05-30 00:00:00+00:00,4
2021-05-31 00:00:00+00:00,5
2021-06-10 00:00:00+00:00,6
2021-06-22 00:00:00+00:00,7
2021-06-25 00:00:00+00:00,8
2021-07-08 00:00:00+00:00,9
2021-09-10 00:00:00+00:00,10
2021-10-07 00:00:00+00:00,11
2021-12-12 00:00:00+00:00,12
2022-01-03 00:00:00+00:00,13
2022-01-08 00:00:00+00:00,14
2022-01-26 00:00:00+00:00,15
2022-03-14 00:00:00+00:00,16
2022-04-04 00:00:00+00:00,17
2022-08-04 00:00:00+00:00,18
2022-08-09 00:00:00+00:00,19
2022-10-07 00:00:00+00:00,20
2022-10-18 00:00:00+00:00,21
2022-10-24 00:00:00+00:00,22
2022-11-15 00:00:00+00:00,23
2023-01-21 00:00:00+00:00,24
2023-02-26 00:00:00+00:00,25
2023-03-09 00:00:00+00:00,26
2023-04-13 00:00:00+00:00,27
2023-04-21 00:00:00+00:00,28
2023-08-18 00:00:00+00:00,29
2023-09-09 00:00:00+00:00,31
2023-10-02 00:00:00+00:00,32
2023-10-13 00:00:00+00:00,33
2023-11-21 00:00:00+00:00,34
2023-12-04 00:00:00+00:00,35
2023-12-07 00:00:00+00:00,36
2024-01-15 00:00:00+00:00,37
2024-05-06 00:00:00+00:00,38
2024-05-12 00:00:00+00:00,39
2024-06-26 00:00:00+00:00,40
2024-07-22 00:00:00+00:00,41
2024-12-30 00:00:00+00:00,42
2025-02-22 00:00:00+00:00,43
2025-05-13 00:00:00+00:00,44
2025-05-30 00:00:00+00:00,45
2025-06-22 00:00:00+00:00,46
2025-07-11 00:00:00+00:00,47
2025-09-18 00:00:00+00:00,48
2025-12-24 00:00:00+00:00,49
2026-01-02 00:00:00+00:00,50
2026-01-03 00:00:00+00:00,51
2026-02-16 00:00:00+00:00,52
2026-02-26 00:00:00+00:00,53
2026-03-12 00:00:00+00:00,54
2026-03-23 00:00:00+00:00,55
2026-04-20 00:00:00+00:00,56
2026-05-20 00:00:00+00:00,57
2026-05-26 00:00:00+00:00,58
2026-06-13 00:00:00+00:00,59
2026-07-28 00:00:00+00:00,60
2026-08-02 00:00:00+00:00,61
2026-08-06 00:00:00+00:00,62
2026-08-07 00:00:00+00:00,63
2026-08-21 00:00:00+00:00,64
