time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,5,5,492,235
2026-09-06 00:00:00+00:00,5,4,896,392
2026-09-07 00:00:00+00:00,11,10,341,167
2026-09-08 00:00:00+00:00,3,3,315,161
2026-09-09 00:00:00+00:00,4,3,401,184
2026-09-10 00:00:00+00:00,16,4,509,215
2026-09-11 00:00:00+00:00,48,35,403,200
2026-09-12 00:00:00+00:00,21,15,446,214
2026-09-13 00:00:00+00:00,67,18,738,324
2026-09-14 00:00:00+00:00,67,64,380,164
2026-09-15 00:00:00+00:00,57,35,402,166
2026-09-16 00:00:00+00:00,44,27,363,174
2026-09-17 00:00:00+00:00,99,19,364,181
2026-09-18 00:00:00+00:00,142,48,397,179
