time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,64,11,843,279
2026-08-15 00:00:00+00:00,249,31,1110,315
2026-08-16 00:00:00+00:00,20,6,1795,587
2026-08-17 00:00:00+00:00,13,3,742,235
2026-08-18 00:00:00+00:00,63,17,797,284
2026-08-19 00:00:00+00:00,10,10,696,280
2026-08-20 00:00:00+00:00,8,7,659,262
2026-08-21 00:00:00+00:00,7,5,728,258
2026-08-22 00:00:00+00:00,14,6,855,299
2026-08-23 00:00:00+00:00,4,3,1602,552
2026-08-24 00:00:00+00:00,34,27,516,218
2026-08-25 00:00:00+00:00,332,74,630,209
2026-08-26 00:00:00+00:00,14,12,711,246
2026-08-27 00:00:00+00:00,68,4,716,251
2026-08-28 00:00:00+00:00,12,11,665,237
2026-08-29 00:00:00+00:00,10,9,672,260
2026-08-30 00:00:00+00:00,2,2,1112,422
2026-08-31 00:00:00+00:00,66,7,588,218
2026-09-01 00:00:00+00:00,36,11,466,211
2026-09-02 00:00:00+00:00,11,8,437,208
2026-09-03 00:00:00+00:00,11,2,420,203
2026-09-04 00:00:00+00:00,7,6,458,222
2026-09-05 00:00:00+00:00,5,5,492,235
